collectionday,propnum,nextwaste,nextrecycle,nextgreen,address
Monday 1,2039182,30-07-2018,30-07-2018,06-08-2018,22 St Glens Way LAKE GARDENS  VIC  3355
Monday 1,2039183,30-07-2018,30-07-2018,06-08-2018,18 St Glens Way LAKE GARDENS  VIC  3355
Monday 1,2039184,30-07-2018,30-07-2018,06-08-2018,16 St Glens Way LAKE GARDENS  VIC  3355
Monday 1,2039185,30-07-2018,30-07-2018,06-08-2018,8 St Glens Way LAKE GARDENS  VIC  3355
Monday 1,2039186,30-07-2018,30-07-2018,06-08-2018,7 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039187,30-07-2018,30-07-2018,06-08-2018,40 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039188,30-07-2018,30-07-2018,06-08-2018,38 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039189,30-07-2018,30-07-2018,06-08-2018,32 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039190,30-07-2018,30-07-2018,06-08-2018,30 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039191,30-07-2018,30-07-2018,06-08-2018,28 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039192,30-07-2018,30-07-2018,06-08-2018,26 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039193,30-07-2018,30-07-2018,06-08-2018,12 St Robbins Avenue LAKE GARDENS  VIC  3355
Monday 1,2039194,30-07-2018,30-07-2018,06-08-2018,4 St Robbins Avenue LAKE GARDENS  VIC  3355
Monday 1,2039195,30-07-2018,30-07-2018,06-08-2018,2 St Robbins Avenue LAKE GARDENS  VIC  3355
Monday 1,2039196,30-07-2018,30-07-2018,06-08-2018,1 St Swindons Avenue LAKE GARDENS  VIC  3355
Monday 1,2039197,30-07-2018,30-07-2018,06-08-2018,22 St Swindons Avenue LAKE GARDENS  VIC  3355
Friday 1,2039202,27-07-2018,03-08-2018,,40 Morgan Street SEBASTOPOL  VIC  3356
Thursday 2,2039203,26-07-2018,26-07-2018,,4/206 Victoria Street BALLARAT EAST  VIC  3350
Thursday 1,2039208,26-07-2018,02-08-2018,26-07-2018,610 Humffray Street South GOLDEN POINT  VIC  3350
Wednesday 1,2039210,01-08-2018,01-08-2018,,44 Misty Lane DURHAM LEAD  VIC  3352
Tuesday 1,2039213,31-07-2018,31-07-2018,07-08-2018,1 Abbey Court ALFREDTON  VIC  3350
Tuesday 1,2039214,31-07-2018,31-07-2018,07-08-2018,4 Argyle Crescent ALFREDTON  VIC  3350
Tuesday 1,2039215,31-07-2018,31-07-2018,07-08-2018,17 Scarborough Crescent ALFREDTON  VIC  3350
Tuesday 1,2039216,31-07-2018,31-07-2018,07-08-2018,26 Belltower Avenue ALFREDTON  VIC  3350
Thursday 1,2039217,26-07-2018,02-08-2018,26-07-2018,7 Gent Street BALLARAT EAST  VIC  3350
Wednesday 2,2039218,01-08-2018,08-08-2018,01-08-2018,156 Bogong Avenue INVERMAY PARK  VIC  3350
Wednesday 2,2039219,01-08-2018,08-08-2018,01-08-2018,154 Bogong Avenue INVERMAY PARK  VIC  3350
Wednesday 2,2039220,01-08-2018,08-08-2018,,44 Hill Top Road BROWN HILL  VIC  3350
Tuesday 1,2039221,31-07-2018,31-07-2018,07-08-2018,3 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039222,31-07-2018,31-07-2018,07-08-2018,5 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039223,31-07-2018,31-07-2018,07-08-2018,19 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039224,31-07-2018,31-07-2018,07-08-2018,20 Cheviot Court ALFREDTON  VIC  3350
Tuesday 1,2039225,31-07-2018,31-07-2018,07-08-2018,12 Cheviot Court ALFREDTON  VIC  3350
